experiment,feature_mode,use_se,seed,n_mels,n_mfcc,fmin,fmax,n_fft,hop_length,win_length,sr,dur_s,boundary_loss_weight,boundary_warmup_epochs,fusion_type,aux_gate_init,best_epoch,best_val_macro_f1,test_acc,test_macro_f1
cv5_boundary_fold1_logmel_w10_seed3407,logmel,True,3407,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,17,0.9497767857142857,0.9166666666666666,0.9174904788914999
cv5_boundary_fold1_logmel_w10_seed42,logmel,True,42,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,12,0.9416504584606835,0.8928571428571429,0.8914249615469128
cv5_boundary_fold1_logmel_w10_seed42,logmel,True,42,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,1.0,5.0,,,12,0.9416504584606835,0.8928571428571429,0.8914249615469128
cv5_boundary_fold1_logmel_w10_seed42,logmel,True,42,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,12,0.9416504584606835,0.8928571428571429,0.8914249615469128
cv5_boundary_fold1_mctafd_no_se_w02_seed2024,mctafd,False,2024,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,0.2,5.0,direct,-4.0,16,0.9580419580419581,0.9166666666666666,0.9161406025824964
cv5_boundary_fold1_mctafd_no_se_w02_seed2024,mctafd,False,2024,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,16,0.9580419580419581,0.9166666666666666,0.9161406025824964
cv5_boundary_fold1_mctafd_no_se_w02_seed2024,mctafd,False,2024,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,16,0.9580419580419581,0.9166666666666666,0.9161406025824964
cv5_boundary_fold1_mctafd_no_se_w02_seed3407,mctafd,False,3407,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,34,0.9666295884315906,0.8869047619047619,0.8850195128840145
cv5_boundary_fold1_mctafd_no_se_w02_seed3407,mctafd,False,3407,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,,,,,34,0.9666295884315906,0.8869047619047619,0.8850195128840145
cv5_boundary_fold1_mctafd_no_se_w02_seed3407,mctafd,False,3407,64.0,20.0,50.0,8000.0,1024.0,320.0,800.0,32000.0,1.0,0.2,5.0,direct,-4.0,34,0.9666295884315906,0.8869047619047619,0.8850195128840145
