noise_environment,snr_db,method,n,mean_macro_f1,std_macro_f1,mean_top1_acc,mean_top2_acc,mean_ece,mean_brier,mean_nll,mean_aurc,mean_augrc,mean_risk_at_coverage_0_80,mean_risk_at_coverage_0_90,mean_risk_at_coverage_0_95,mean_frozen_threshold_coverage,mean_frozen_threshold_selective_risk,mean_macro_f1_degradation_vs_clean,condition_family
ALL_NOISY,GROUP,hierarchical,25,0.6199911725906855,0.02237817080297636,0.6859788359788359,0.7661904761904762,0.2792093611930413,0.5872486769490772,4.3274041001002,0.2122118151247194,0.2122118151247194,0.3094650205761317,0.3036257309941521,0.30700000000000005,0.9218518518518518,0.30329930312684394,,all_noisy
ALL_NOISY,GROUP,prototype,25,0.6230361208972217,0.02125221170044848,0.6891005291005292,0.7655026455026455,0.2746227205044062,0.5806643015146254,4.133713058630625,0.21093737203497653,0.21093737203497653,0.305679012345679,0.29973684210526313,0.30361111111111105,0.9211904761904761,0.29876455409815994,,all_noisy
ALL_NOISY,GROUP,raw_softmax,25,0.6172811137867201,0.02297252928858802,0.6842592592592592,0.772989417989418,0.26348918317802367,0.5740409308009677,1.8465841643015546,0.17745835183883635,0.17745835183883635,0.3042962962962963,0.3040350877192982,0.308,0.92,0.3023860159729111,,all_noisy
MODERATE_NOISE,GROUP,fused,25,0.6499148034423641,0.02467215089541096,0.7108333333333334,0.7881746031746033,0.25847078213852553,0.5423445450266202,2.421500205993653,0.17320084333420574,0.17320084333420574,0.2884938271604938,0.28092105263157896,0.282625,0.9228174603174604,0.2806882569043061,,moderate_noise
MODERATE_NOISE,GROUP,hierarchical,25,0.6521753032858044,0.025686214112198975,0.711309523809524,0.7803968253968254,0.25798470195323703,0.5441930406292279,4.120033845106761,0.20656210297458294,0.20656210297458294,0.29333333333333333,0.2804824561403509,0.282625,0.9257936507936507,0.28078420565227985,,moderate_noise
MODERATE_NOISE,GROUP,prototype,25,0.6533540262441285,0.023320365550879848,0.7128571428571427,0.7795238095238096,0.2538847673152174,0.539604245920976,3.934516124327978,0.20471505020044695,0.20471505020044695,0.2902222222222222,0.27763157894736845,0.28045833333333337,0.9254761904761907,0.2776333769476242,,moderate_noise
MODERATE_NOISE,GROUP,raw_softmax,25,0.6472250015633355,0.025425760171417972,0.7080555555555554,0.7908333333333333,0.24339080731192278,0.5346629901727041,1.6971559858322143,0.1634806480900681,0.16348064809006807,0.28720987654320984,0.28258771929824567,0.28525,0.9237698412698414,0.282144624520588,,moderate_noise
EXTREME_STRESS,GROUP,fused,25,0.5603688384514834,0.02727736928051872,0.6390476190476191,0.7384920634920634,0.3188045629788013,0.6649864061673483,3.062181619008382,0.20802128741917816,0.20802128741917816,0.3361975308641975,0.3447368421052632,0.35141666666666665,0.9126190476190478,0.3420512346498255,,extreme simulated-noise stress condition
EXTREME_STRESS,GROUP,hierarchical,25,0.5556229112004477,0.02842506188480622,0.6353174603174603,0.7377777777777778,0.32165867967264994,0.6733599495887757,4.7421446100870766,0.22351123942499232,0.22351123942499232,0.3417283950617284,0.3499122807017544,0.35575,0.9139682539682541,0.3483294980759722,,extreme simulated-noise stress condition
EXTREME_STRESS,GROUP,prototype,25,0.562400310203408,0.028306234723057568,0.6415873015873015,0.7374603174603175,0.31609862688278395,0.6627844127019246,4.532106927235921,0.22338201570403565,0.22338201570403565,0.33659259259259255,0.3439473684210526,0.34991666666666665,0.9126190476190476,0.3410269083992313,,extreme simulated-noise stress condition
EXTREME_STRESS,GROUP,raw_softmax,25,0.557393338233489,0.02931077040660318,0.6366666666666667,0.7373015873015872,0.3036859349102255,0.6527968120574951,2.145440521240234,0.20541375933637288,0.20541375933637288,0.3384691358024691,0.3469298245614036,0.3534999999999999,0.9124603174603173,0.342868798877557,,extreme simulated-noise stress condition
